Tweet Number,Tweet Username,Tweet Text,Tweet Date,Tweet Geo
0,ChristieMLeto,This Christmas most of my presents were for healing in some way! My husband & kids are amazing support for me on this journey to remission from #ChronicLymeDisease #InfaredSauna #Aromatherapy #HimalayanSaltLamps pic.twitter.com/nZEiOD2TFh,2017-12-30 00:43:08+00:00,
1,FactsLyme,Lyme Symptoms #LymeDisease #ChronicLymeDisease pic.twitter.com/JiqM3r1MT1,2017-12-29 22:20:31+00:00,
2,ChristieMLeto,Aromatherapy is saving me! Even in the sauna I need my lavender. It’s done wonders for my mood. Omg 110 degrees for 20 minutes thank god for tv I can see & hear perfect & my phone! Lol same as being in bed I guess? #ChronicLymeDisease #DetoxingInfaredSauna Thank You #MyDolly pic.twitter.com/6nc66MDewD,2017-12-29 01:55:31+00:00,
3,ChristieMLeto,This was the greatest #ChristmasGift any #Lymie could wish for! My Husband is a doll!Even though I’m hoping to use it as a healthy person someday for now I’ll be detoxing 1st #EpsomSaltBath then #InfaredSauna last a shower #ChronicLymeDisease #Herxing #Detox 7 weeks down pic.twitter.com/zYZAfJLe5F,2017-12-29 01:47:48+00:00,
4,ChristieMLeto,"Wow, interesting especially since my other thumb needs to be done, my hip, 2 discs in my neck & eventually both knees! Thanks #ChronicLymeDisease guess I should’ve saved the joint they took out of my other thumb for testing #LymeEatsCartilageForBreakfast",2017-12-22 00:48:03+00:00,
5,CassidyMaree30,2 years ago a today I got my second picc line and it is still and uphill battle #ChronicLymeDisease,2017-12-19 03:58:38+00:00,
6,LymeTalkNow,"In states where Lyme is less common, those that are infected struggle to gain recognition. http://www. lymenow.com/i-cry-to-every -doctor-please-give-me-my-life-back/ … #lyme #lymedisease #awareness #lymeawareness #lymediseaseawareness #chroniclyme #chronicillness #chroniclymedisease #ticks",2017-12-17 16:00:16+00:00,
7,DailyLyme,#ChronicLymeDisease,2017-12-14 09:10:42+00:00,
8,InconvenientTr1,It is unconscionable that so many doctors are purposely uneducated on lyme disease or otherwise intimidated into silence and/or abandoning ill patients. #LymeDisease #chroniclymedisease https:// twitter.com/Lymenews/statu s/940311039278592000 …,2017-12-11 20:15:19+00:00,
9,SubLyme77,#lymedisease #lyme #lymewarrior #lymediseasewarrior #spoonie #lymelife #chroniclyme #chroniclymedisease #lymeawareness pic.twitter.com/67JP9Fw9qK,2017-12-10 16:56:39+00:00,
10,ChristieMLeto,"#Herxing with a bad #EBV flare,oh I can relate!I slept through 2 doses of antibiotics today! #ChronicLymeDisease #Babesia #Bartonella #Ehrlichia #EBV #CFS #Fibromyalgia #CMV ETC... #NoSpoonsHere #TryingToStayPositive is #ReallyHard #TotallySucks #IMissMe #GoodNightLymies",2017-12-10 03:01:57+00:00,
11,jennafercady71,We did it! Wormser is gone! #Lymedisease #DumpWormser #Petition #PetitionUpdate #ChronicLymeDisease #LymeCryme https:// m.huffpost.com/us/entry/us_5a 2764bbe4b0650db4d40bb5 …,2017-12-10 00:05:58+00:00,
12,SubLyme77,#ChronicLymeDisease #StoryTime | My Halloween http:// ow.ly/RoTf30gZ93i Experience #lyme #Lymedisease #chroniclyme #lymediseaseawareness #lymewarrior #lymediseasewarrior,2017-12-09 03:20:03+00:00,
13,dinalynheart,"Exactly! Music is my life. I deal with a lifelong disability and health issues due to #ChronicLymeDisease and if it wasn’t for music, I wouldn’t have a smile on my face!",2017-12-08 23:56:31+00:00,
14,LymeTalkNow,Government officials are making a push to address Lyme disease http://www. lymenow.com/stefanik-joins -bipartisan-push-to-address-lyme-disease/ … #lyme #lymedisease #awareness #lymeawareness #lymediseaseawareness #chroniclyme #chronicillness #chroniclymedisease #ticks,2017-12-08 16:40:06+00:00,
15,rcumpston,"""The insurers then paid the IDSA defendants to testify against doctors"". Exposing the depravity of medical insurance companies & the IDSA quacks who made $$while forcing countless people to suffer #ChronicLymeDisease . https:// twitter.com/marybethpf/sta tus/938826033700179968 …",2017-12-07 18:58:36+00:00,
16,LymeTalkNow,Herx reactions are one of the main challenges of Lyme. #herx #lyme #lymedisease #chroniclyme #chroniclymedisease #chronicillness #health #awareness #healing #spoonie pic.twitter.com/LlTjPRYXd3,2017-12-07 16:30:07+00:00,
17,rebka101,#lyme #LymeDisease #ChronicLymeDisease #babesia #bartonella #PANDAS #PANS @LymeAlliance @Lyme_Connection @bigtickproject @PANSlife https:// twitter.com/natcaplyme/sta tus/938628933095960576 …,2017-12-07 09:43:25+00:00,
18,SubLyme77,http:// ow.ly/ltVy30gZ91f #ChronicLymeDisease #StoryTime | My Halloween Experience #lyme #Lymedisease #chroniclyme #lymediseaseawareness #lymewarrior #lymediseasewarrior,2017-12-07 03:15:03+00:00,
19,ChristieMLeto,There definitely is #LymeStrength in numbers! We may feel weak alone but wow the power we have together is amazing. @Lymenews brought out the Warrior in us all & we really made a difference! So grateful to all who signed xoxo #ChronicLymeDisease,2017-12-06 22:57:50+00:00,
20,ChristieMLeto,Best news I’ve heard all day! Actually put a smile of hope on my face! We’re counting on this #LymeWorkingGroup to make sure our #QualityOfLymeLife is a priority! #ChronicLymeDisease,2017-12-06 04:41:35+00:00,
21,ChristieMLeto,"We all have a voice, even it is from our bed! We used it & they listened!Thank you all for starting the petition! #LymiesUnitedForACure #ChronicLymeDisease & #CoInfections deserve #Awareness & #HopeForACure #ByeWormser & all who stand by the same ignorance We ARE Warriors! https:// twitter.com/ladyoflyme/sta tus/938206110862979073 …",2017-12-06 04:35:20+00:00,
22,JackDValentines,I have to remind myself that I am not crazy and I am very ill. I would be working and being productive if I was healthy. The anxiety and guilt over being sick has been forced onto me by doctors and society. #believeme #chroniclymedisease #chronicpain,2017-12-05 06:53:45+00:00,
23,starhistorian,. @TMZ #HarveyLevin you can’t show ANY empathy and compassion to a permanently disabled man?! Why are showing the 2012 arrest of Randy Travis NOW? for your amusement? Isn’t it enough he’s disabled due to a stroke brought on by #ChronicLymeDisease ? Stop this nonsense!,2017-12-04 23:13:52+00:00,
24,SubLyme77,#ChronicLymeDisease and #Inspiration | #LymeDiseaseAwareness | #SubLyme77 #lyme #lymedisease #lymewarrior https:// youtu.be/mAYuiL-m-Y4 via @YouTube,2017-12-04 17:38:58+00:00,
25,SubLyme77,#ChronicLymeDisease StoryTime | My Halloween Experience #lyme #Lymedisease #chroniclyme #lymediseaseawareness #lymewarrior https:// youtu.be/dzWMHlTpSqU via @YouTube,2017-12-04 03:03:44+00:00,
26,LymeTalkNow,What causes a herx reaction? #herx #lyme #lymedisease #chroniclyme #chroniclymedisease #chronicillness #health #awareness #healing #spoonie pic.twitter.com/ose2IdryiE,2017-12-03 16:35:15+00:00,
27,SubLyme77,Do you feel alone while having #LymeDisease ? Here are some tips on how to help. #lyme #chroniclyme #spoonie #lymediseaseawareness #chroniclymedisease #awareness #lymelife #lymewarrior https:// youtu.be/0H3pGTGnTMA,2017-12-02 21:00:36+00:00,
28,SubLyme77,Hey guys! This video is about #ChronicLymeDisease and Deep Thoughts about #Gratitude | An #InvisibleIllness . It's also about dealing with loneliness and living with #LymeDisease . You are not alone! #lyme #spoonie #chroniclyme #lymediseaseawareness http:// ow.ly/6SWa30gVHSO,2017-12-02 03:00:16+00:00,
29,i_luv_ewe,So sleepy... #ChronicLymeDisease pic.twitter.com/kuJzRABPNb,2017-12-01 18:32:52+00:00,
30,i_luv_ewe,"""My brain says 'move'. My body says 'bite me'."" #ChronicLymeDisease pic.twitter.com/lVAcyIU2Jz",2017-12-01 15:56:55+00:00,
31,i_luv_ewe,Very. Bad. Lyme. Day. :-( #FlagylSucks #ChronicLymeDisease #HerxingGalore pic.twitter.com/xxiO0D2A0q,2017-12-01 15:37:30+00:00,
32,SubLyme77,#LymeDisease #StoryTime | You Got Bit By A Tick??? | #ChronicLymeDisease ... #lyme https:// youtu.be/gzR-SYVyFuU via @YouTube,2017-12-01 02:20:57+00:00,
33,SubLyme77,How To Find Inspiration While Having #ChronicLymeDisease #LymeDisease A... #lyme https:// youtu.be/mAYuiL-m-Y4 via @YouTube,2017-12-01 01:44:44+00:00,
34,ChristieMLeto,Thank you! I’m so grateful for you You’re fighting for those of us that just can’t fight for ourselves right now!! #ChronicLymeDisease #DrWormser shouldn’t be on any panel that will make decisions or recommendations. Worries me he’s even there to begin with!,2017-12-01 00:52:36+00:00,
35,SubLyme77,Deep Thoughts about Gratitude and having #ChronicLymeDisease #lyme #lymedisease https:// youtu.be/0H3pGTGnTMA via @YouTube,2017-11-26 19:19:40+00:00,
36,SubLyme77,#lymedisease #lyme #lymediseaseawareness #lymewarrior #lymediseasewarrior #spoonie #lymelife #chroniclyme #chroniclymedisease pic.twitter.com/U9STSHH4TQ,2017-11-25 02:17:17+00:00,
37,gjkcooke,"Happy Thanksgiving, Twitterverse! The topic of my latest #ChronicLymeDisease blog post is all about GRATITUDE, and reminding ourselves that, despite all our hardship, we still have so much to be thankful for https://www. gjkcooke.com/byting-back/20 17/11/20/coming-to-terms-with-a-mountain-of-bullshit …",2017-11-23 17:02:18+00:00,
38,SubLyme77,#lymedisease #lyme #lymediseaseawareness #lymewarrior #lymediseasefighter #lymediseasewarrior #spoonie #chroniclyme #chroniclymedisease pic.twitter.com/FSj7rEN9cg,2017-11-22 16:59:54+00:00,
39,gjkcooke,"Really rough morning today. Couldn’t get to sleep last night, pains all up and down my back when I woke up, and tons of muscle tension in my hands, as if they were frozen solid. Meds taken - more ordered #ChronicLymeDisease",2017-11-22 15:58:36+00:00,
40,ChristieMLeto,"Twitter has saved me from battling #ChronicLymeDisease . Every #Spoonie has shed some light for me. I’ve made great friends I’ve never met and learned so much. It’s taken so much of the isolation this disease brings away! Panicking at 3am, u can bet there’s a spoon is up to help!",2017-11-20 23:26:49+00:00,
41,SubLyme77,What are you thankful for while having #lymedisease ? #lyme #lymewarrior #spoonie #chroniclyme #chroniclymedisease #Thanksgiving,2017-11-20 16:55:06+00:00,
42,ChristieMLeto,So which one made me wake w left side of face swollen? Hoping treatment will be easier for my dr! This #Herxing is hell! #ChronicLymeDisease @DrDanielCameron pic.twitter.com/nTOnODbC5J,2017-11-19 15:00:15+00:00,
43,ChristieMLeto,Went to the #orthopedic for my back just to find out I need 2 discs removed from my neck! I’m busy treating my #ChronicLymeDisease rt now so I can wait until after January?! #SoPissed #NeverEnds only 3-4 hours a day in this contraption since I’m in bed most of the time anyway pic.twitter.com/cIxt5tcrKa,2017-11-17 22:40:12+00:00,
44,thefittutor,Study Finds Stevia Kills Lyme Disease Pathogen Better Than Antibiotics - Herbs Info https:// shar.es/1M0Ro9 WHAT?! #lymedisease #chroniclymedisease #stevia,2017-11-17 19:16:45+00:00,
45,ChristieMLeto,"Thanks so much for this info! I’m forwarding the article to my disability attny, I’ve been denied twice & out of work for 3 years now #ChronicLymeDisease",2017-11-16 13:19:52+00:00,
