Real Locations
New York
"Myrtle Beach, SC"
"Pennsylvania, USA"
"Delaware, USA"
NYC
Southern illinois
SW Louisiana
"Birmingham, AL"
Pennsylvania
NJ CA PA
Maine
"Longview, WA"
"Boston, MA/Newport, RI"
"Michigan, USA"
"Long Island, New York"
Northern Virginia
"Sacramento, CA"
"Arlington, VA"
"Los Angeles, CA"
Virginia 
"Maryland, USA"
"Malibu, California"
"Brooklyn, NY"
"East Lansing, MI"
Big Apple
"Arizona, USA"
"Stamford & Fairfield County, CT"
"New Jersey, USA"
vermont
"Charlottesville, VA"
"Houston, TX"
"Tampa Bay, Florida"
"Ventura, CA"
"Portland, OR"
NY
"Yonkers, NY"
"Highland Lake, NJ"
Western PA
Little Rock
New Jersey
"Seattle, WA"
"Missouri, USA"
"Valparaiso, IN"
Washington DC
"New York, NY"
"Town of 5,000, Wisconsin"
"Jacksonville, FL"
ohio
"Traverse City, MI"
"Buffalo Grove, IL"
"Walnut Creek, California"
Northern California
"Greenville, SC"
"Tampa, FL"
Ferndale Washington
"Texas, USA"
"Idaho, USA"
"Montana, USA"
"Atlanta, GA"
"Duxbury, MA"
Hell on Earth... aka NJ
"Florida, U.S."
New York City
"Corning, NY"
"Staten Island, NY"
"San Diego, CA"
Philly Philly | The Main Line
Florida/South Dakota
"Highlands Ranch, Colorado"
"Waterford, CT"
"East Greenwhich, Rhode Island"
Wisconsin
"Virginia, USA"
"Oklahoma, USA"
Idaho
"Edmonds, WA"
"Reston, VA"
"Oregon, USA"
"Connecticut, USA"
"Erie, PA"
Serving California Communities
"Alabama, USA"
"Fort Myers, FL"
"Bozeman, MT"
MINNESOTA
"Easton, CT"
the east coast Boston - NYC
"Irvine, CA"
"Westchester, NY"
"40.0302,-75.499986"
Central Florida
"Austin, TX."
"New York, USA"
"Minneapolis, MN"
"NYC, 101 RVK (Island)"
"Koreatown, Los Angeles"
"Wisconsin, USA"
"Washington, DC 20009"
"Simi Valley, CA"
SW Florida
GA - #CATHOLIC #LymeDisease
"Rochester, NY"
Chicagoan in red state
"Long Neck, DE"
"Silicon Valley, California"
"Prior Lake, MN"
"Iowa, USA"
California
