Tweet Number,Tweet Username,Tweet Text,Tweet Date,Tweet Geo
0,ChristieMLeto,@DrDanielCameron @LymeAlliance #AirHunger is one of the worst symptoms of #Herxing putting my #ChronicLymeDisease in #Remission I hope!!,2016-12-30 20:22:12+00:00,
1,ESmithStevens,#lymedisease #chroniclymedisease #chroniclyme #nih #cdc #lymeisreal #chroniclymeisreal … https://www. instagram.com/p/BOoOYoshYQ6/,2016-12-30 05:02:54+00:00,
2,ESmithStevens,14-day heart monitor--one of two electrodes: #chroniclymedisease #chroniclymeisreal #cdc #nih https://www. instagram.com/p/BOoPTgQBdIa/,2016-12-30 05:02:03+00:00,
3,ChristieMLeto,"@DrDanielCameron @LymeAlliance It's just not fair! #ChronicLymeDisease 35+yrs I can't take this, since reinfection I have no quality of life",2016-12-30 00:24:55+00:00,
4,LymeWarriorUS,#lymewarrior #LymeDisease #lyme #chroniclymedisease #lymelife #hero #fightback pic.twitter.com/4qriXH3veN,2016-12-27 03:02:33+00:00,
5,ChristieMLeto,Well it's worth all the pain & exhaustion when I stop & look at all I was able to accomplish for my babies #ChronicLymeDisease #ChristmasEve pic.twitter.com/Gh28ZoYQbH,2016-12-25 06:19:29+00:00,
6,DawnZauner,Help spread the word about #LymeDisease #chroniclymedisease this holiday season! http:// eepurl.com/ctUXDL,2016-12-21 00:55:45+00:00,
7,KenPledger,The hidden epidemic - Lyme disease. Checkout http:// youtu.be/sxWgS0XLVqw #lyme #chroniclymedisease #lymedisease,2016-12-18 19:18:04+00:00,
8,KenPledger,"@YolandaHFoster speech on her #ChronicLymeDisease is a must watch https:// m.youtube.com/watch?v=6djL18 mfXj8&feature=youtu.be&a= … ""We must Speak Up"" #LymeDisease the silent killer",2016-12-18 17:25:05+00:00,
9,KenPledger,Being strong is the only choice. https:// twitter.com/inspireme39/st atus/595650712354295809 … #chroniclymedisease,2016-12-18 17:24:17+00:00,
10,KenPledger,Lyme's Disease in Australia - Tahlia Smith https:// m.youtube.com/watch?feature= player_embedded&v=Hog89DX00Lg … #ChronicLymeDisease #lymedisease,2016-12-18 16:11:12+00:00,
11,KenPledger,The history of Lyme Disease and Lyme Disease 101 http:// mentalitch.com/the-history-of -lyme-disease/ … #lymedisease #chroniclymedisease,2016-12-18 16:07:12+00:00,
12,KenPledger,Many children get sick without ever developing the infamous bull's-eye. Checkout http:// yahoo.com/parenting/your -kid-could-have-lyme-disease-and-you-might-not-125515899393.html … #lyme #chroniclymedisease,2016-12-18 15:04:04+00:00,
13,ChristieMLeto,@chuckschumer We will not stop fighting until the #CDC recognizes #ChronicLymeDisease exists & helps to diagnose & cure! We need your help,2016-12-18 00:38:57+00:00,
14,ChristieMLeto,We need your help @chuckschumer Please! We've been ignored for so long! Thank You!! #NYS #ChronicLymeDisease #Suffering #Awareness #Funding https:// twitter.com/lymenews/statu s/810250757819826180 …,2016-12-17 23:29:43+00:00,
15,ChristieMLeto,@LymeAlliance @Lymenews They finally gave us a spoon emoji! I have none left today to even enjoy though!Very bad day! #ChronicLymeDisease,2016-12-16 18:18:34+00:00,
16,DawnZauner,#lymedisease #chroniclymedisease #lymedontkillmyvibe #livingwithlyme #chronicillness … https://www. instagram.com/p/BODQ1sQDx3D/,2016-12-15 20:21:13+00:00,
17,Spooky84Gurl,Six Days.. #SixDayz #Fibromyalgia #ChronicLymeDisease #UlcerativeColitis #Painsomnia #IBD #IBS … https://www. instagram.com/p/BOA4Cq-gfAA/,2016-12-14 22:05:28+00:00,
18,LymeYarns,I wish #Christmas #shopping & #Lyme went 2gether like milk & cookies! #chroniclymedisease #lymeyarns #NEVERQUIT #wemustfindacure #yarn pic.twitter.com/ALa1cYvmFr,2016-12-14 13:33:00+00:00,
19,Spooky84Gurl,7days.. #SevenDayz #Fibromyalgia #ChronicLymeDisease #UlcerativeColitis #ChronicPain #IBS #IBD … https://www. instagram.com/p/BN-mX9TgLHM/,2016-12-14 00:52:37+00:00,
20,sam_vinograd,TY for your work on #CuresAct - first law w focus on tick borne diseases among other life changing diseases #chroniclymedisease #health,2016-12-07 22:10:58+00:00,
21,pirategurl13,need 2 get n touch w/ Lyme literate dentist about my case Please share n PM if u hav info #lymeLiterateDentist #chronicLymeDisease #lyme pic.twitter.com/4S7PUundmH,2016-12-04 03:18:54+00:00,
22,aGirlWithLyme,The Day I Got Sick Tag // aGirlWithLyme #ChronicLymeDisease https://www. youtube.com/watch?v=8JZJ7v pF4w0&feature=share …,2016-12-01 19:04:31+00:00,
23,kirstycool1,"might take 10 yrs to qualify, but you really should learn to listen and BELIEVE , #its all in my head #chroniclymedisease .",2016-11-30 11:37:52+00:00,
24,KellyKoncewicz,I'm at the 1/2 way point of my #embronicStemCell #stemCell therapy for #LymeDisease #chronicLymeDisease blog here https://www. facebook.com/Vulcanhasafade /posts/1182611195125993 …,2016-11-27 15:41:55+00:00,
25,KellyKoncewicz,Day 5 of #embryonicStemCell #stemCell #treatment for #LymeDisease #chronicLymeDisease https://www. facebook.com/Vulcanhasafade /posts/1181128791940900 …,2016-11-26 01:58:40+00:00,
26,laedwardswriter,"I wish docs would realize that #chronicLymedisease is a real illness and not, ""it's all in your head."" https:// twitter.com/factvsfitness/ status/781524309907046400 …",2016-11-24 21:37:40+00:00,
27,DawnZauner,#lymedisease #chroniclymedisease #lymedontkillmyvibe #livingwithlyme #chronicillness … https://www. instagram.com/p/BNLIC6LjJGh/,2016-11-24 01:06:58+00:00,
28,KellyKoncewicz,Living the Lyme Life Blog Day 2 of #stemCell #treatment for #lymedisease #chronicLymeDisease https://www. facebook.com/kelly.koncewic zcaringi/posts/342598526101538 …,2016-11-23 03:27:18+00:00,
29,TheHunt_isOver,Got to school this morning. Thought I was going to die because of my pain levels.. now I'm going to leave early. #ChronicLymeDisease,2016-11-21 13:17:21+00:00,
30,RachHouseholder,"It's alright, I didn't think my pain levels would go down tonight so I could sleep, or anything.. #ChronicLymeDisease",2016-11-21 06:22:53+00:00,
31,megangramfe,#infectiousdisease fun fact! herxing is when the body has a reaction to the bacteria leaving the body. #bartonella #chroniclymedisease pic.twitter.com/djEZaUVm9m,2016-11-20 22:07:56+00:00,
32,reviggy,"@Fox5Teresa #LYMEandREASON 2.0. @melissamy108 IsA #TwitterFriend OfMine, she hs #ChronicLymeDisease bt a #HealthyAttitude Myb u cld sy #HI",2016-11-19 02:51:33+00:00,
33,KellyKoncewicz,SECOND BLOG POST LIVING THE LYME LIFE #chronicLymeDisease #stemcelltherapy #LymeDisease #stemcell https://www. facebook.com/kelly.koncewic zcaringi/posts/340123576349033 …,2016-11-18 19:23:58+00:00,
34,KenPledger,Being strong is the only choice. https:// twitter.com/inspireme39/st atus/595650712354295809 … #chroniclymedisease,2016-11-18 18:03:34+00:00,
35,KenPledger,"@YolandaHFoster speech on her #ChronicLymeDisease is a must watch https:// m.youtube.com/watch?v=6djL18 mfXj8&feature=youtu.be&a= … ""We must Speak Up"" #LymeDisease the silent killer",2016-11-18 18:02:54+00:00,
36,KenPledger,Lyme's Disease in Australia - Tahlia Smith https:// m.youtube.com/watch?feature= player_embedded&v=Hog89DX00Lg … #ChronicLymeDisease #lymedisease,2016-11-18 16:27:24+00:00,
37,KenPledger,The history of Lyme Disease and Lyme Disease 101 http:// mentalitch.com/the-history-of -lyme-disease/ … #lymedisease #chroniclymedisease,2016-11-18 14:48:06+00:00,
